de	0.05029664943775139
la	0.03795775253417918
i	0.03038148831077014
el	0.027137930046145467
a	0.025246252472078647
l	0.024338629393612244
que	0.020302095176222185
d	0.0184820720557185
en	0.018214562095749457
els	0.014044272898374876
per	0.012983786985640448
les	0.012338896903572214
del	0.01170356074864573
un	0.011445604715818437
va	0.010194040260248975
es	0.00972112086673227
una	0.0094583878703341
amb	0.007896320782657711
és	0.007824666329094574
al	0.007437732279853634
com	0.00732786211772349
dels	0.006047635880728774
més	0.005818341629326735
o	0.0045811080644699
no	0.004447353084485378
s	0.004284936323075601
van	0.004089080816669692
ser	0.0034250828803179547
ha	0.0029617174139430014
són	0.0026321069275525703
seva	0.002622553000410819
seu	0.002493574983997172
també	0.002364596967583525
hi	0.0022308419875990025
se	0.002221288060457251
entre	0.0021639644976067414
als	0.002140079679752362
aquest	0.0020779791533309766
altres	0.002030209517622219
però	0.0019012315012085718
aquesta	0.0018773466833541927
estat	0.0018630157926415652
fins	0.0017579225940822975
gran	0.001671937249806533
tot	0.0015763979783890167
era	0.0015142974519676312
part	0.0014951895976841282
sobre	0.0014426429984044941
després	0.001394873362695736
cap	0.001370988544841357
pel	0.0013423267634161023
pot	0.0013327728362743506
durant	0.0013184419455617232
des	0.0013041110548490957
molt	0.0012850032005655924
anys	0.0012706723098529652
segle	0.0012658953462820893
si	0.001170356074864573
han	0.001170356074864573
això	0.001146471257010194
qual	0.0011178094755849393
nord	0.0011130325120140634
ciutat	0.0010748168034470569
encara	0.0010652628763053052
aquests	0.0010557089491635538
seus	0.0010366010948800505
on	0.001022270204167423
fou	0.0010174932405965472
ja	0.0010127162770256714
forma	0.0010127162770256714
té	0.0010031623498839197
sud	9.840544956004167E-4
quan	9.410618234625343E-4
així	9.362848598916584E-4
nombres	9.315078963207826E-4
fer	9.219539691790311E-4
exemple	9.028461148955278E-4
pels	8.98069151324652E-4
només	8.932921877537762E-4
seves	8.74184333470273E-4
any	8.74184333470273E-4
alguns	8.694073698993971E-4
guerra	8.646304063285213E-4
està	8.598534427576455E-4
país	8.407455884741423E-4
estats	8.311916613323907E-4
població	8.21637734190639E-4
primer	8.21637734190639E-4
nombre	8.21637734190639E-4
manera	8.168607706197633E-4
dos	7.9775291633626E-4
poden	7.881989891945084E-4
aquestes	7.834220256236326E-4
nom	7.690911349110052E-4
sistema	7.643141713401294E-4
segons	7.595372077692535E-4
ac	7.547602441983777E-4
temps	7.452063170566262E-4
tenen	7.356523899148745E-4
egipte	7.356523899148745E-4
mateix	7.165445356313712E-4
tant	7.022136449187439E-4
molts	6.926597177769922E-4
fa	6.73551863493489E-4
tots	6.73551863493489E-4
món	6.73551863493489E-4
àcid	6.73551863493489E-4
n	6.687748999226132E-4
tipus	6.687748999226132E-4
havia	6.687748999226132E-4
eren	6.639979363517374E-4
art	6.496670456391099E-4
cada	6.448900820682341E-4
govern	6.353361549264826E-4
grans	6.353361549264826E-4
primera	6.353361549264826E-4
què	6.353361549264826E-4
vida	6.210052642138551E-4
fet	6.210052642138551E-4
sota	6.210052642138551E-4
mentre	6.162283006429793E-4
arqueobacteris	6.114513370721035E-4
major	6.018974099303519E-4
servir	6.018974099303519E-4
terra	5.971204463594761E-4
imperi	5.971204463594761E-4
diferents	5.923434827886003E-4
majoria	5.780125920759728E-4
lloc	5.780125920759728E-4
uns	5.73235628505097E-4
aigua	5.73235628505097E-4
ús	5.589047377924696E-4
altre	5.541277742215938E-4
terme	5.541277742215938E-4
tres	5.49350810650718E-4
important	5.49350810650718E-4
poder	5.397968835089663E-4
dues	5.397968835089663E-4
contra	5.350199199380905E-4
tenir	5.25465992796339E-4
déu	5.25465992796339E-4
període	5.206890292254632E-4
sense	5.206890292254632E-4
antic	5.159120656545873E-4
alquímia	5.111351020837115E-4
primers	5.063581385128357E-4
units	4.96804211371084E-4
arizona	4.96804211371084E-4
general	4.96804211371084E-4
andorra	4.96804211371084E-4
lt	4.920272478002083E-4
gt	4.8725028422933245E-4
altra	4.8725028422933245E-4
quals	4.8725028422933245E-4
aire	4.824733206584567E-4
punt	4.7769635708758086E-4
principal	4.7769635708758086E-4
països	4.7291939351670504E-4
animals	4.681424299458292E-4
tal	4.6336546637495345E-4
començar	4.585885028040776E-4
capital	4.585885028040776E-4
ara	4.538115392332018E-4
mar	4.538115392332018E-4
abans	4.538115392332018E-4
li	4.49034575662326E-4
mundial	4.49034575662326E-4
obra	4.49034575662326E-4
nou	4.49034575662326E-4
causa	4.49034575662326E-4
c	4.442576120914502E-4
història	4.442576120914502E-4
territori	4.442576120914502E-4
conjunt	4.394806485205744E-4
partir	4.394806485205744E-4
totes	4.394806485205744E-4
antropologia	4.3470368494969856E-4
regió	4.2992672137882274E-4
procés	4.2992672137882274E-4
església	4.2992672137882274E-4
centre	4.2992672137882274E-4
diversos	4.25149757807947E-4
est	4.25149757807947E-4
estan	4.25149757807947E-4
bé	4.1559583066619533E-4
algunes	4.1559583066619533E-4
cosa	4.1559583066619533E-4
milions	4.1559583066619533E-4
dir	4.1559583066619533E-4
arribar	4.1559583066619533E-4
grup	4.1559583066619533E-4
amsterdam	4.1559583066619533E-4
habitants	4.108188670953195E-4
arcs	4.0604190352444374E-4
europa	4.012649399535679E-4
grec	3.964879763826921E-4
ho	3.917110128118163E-4
través	3.917110128118163E-4
oest	3.917110128118163E-4
qualsevol	3.917110128118163E-4
vegada	3.917110128118163E-4
tanmateix	3.869340492409405E-4
llavors	3.869340492409405E-4
dins	3.869340492409405E-4
riu	3.869340492409405E-4
antàrtida	3.869340492409405E-4
